Organization,Department,Designation,Functional Role
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Data Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Data Governance"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Programme Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Administration"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Database Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Cyber Security"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","e-Governance"
"National Statistical Training Academy (NSSTA)","Training Operations","Deputy Director","Learning & Development"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Statistical Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Data Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Survey Operations"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Sampling"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Data Quality & Validation"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Research & Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Economic Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Social Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Data Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Data Governance"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Programme Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Administration"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Database Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Cyber Security"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","e-Governance"
"National Statistical Training Academy (NSSTA)","Training Operations","Senior Statistical Officer","Learning & Development"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Statistical Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Data Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Survey Operations"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Sampling"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Data Quality & Validation"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Research & Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Economic Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Social Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Data Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Data Governance"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Programme Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Administration"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Database Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Cyber Security"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","e-Governance"
"National Statistical Training Academy (NSSTA)","Training Operations","Junior Statistical Officer","Learning & Development"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Statistical Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Data Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Survey Operations"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Sampling"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Data Quality & Validation"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Research & Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Economic Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Social Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Data Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Data Governance"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Programme Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Administration"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Database Management"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Cyber Security"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","e-Governance"
"National Statistical Training Academy (NSSTA)","Training Operations","Other","Learning & Development"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Statistical Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Data Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Survey Operations"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Sampling"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Data Quality & Validation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Research & Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Economic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Social Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Data Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Data Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Programme Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Administration"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Database Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Cyber Security"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","e-Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Director","Learning & Development"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Statistical Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Data Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Survey Operations"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Sampling"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Data Quality & Validation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Research & Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Economic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Social Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Data Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Data Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Programme Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Administration"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Database Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Cyber Security"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","e-Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Deputy Director","Learning & Development"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Statistical Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Data Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Survey Operations"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Sampling"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Data Quality & Validation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Research & Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Economic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Social Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Data Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Data Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Programme Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Administration"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Database Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Cyber Security"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","e-Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Senior Statistical Officer","Learning & Development"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Statistical Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Data Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Survey Operations"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Sampling"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Data Quality & Validation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Research & Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Economic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Social Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Data Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Data Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Programme Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Administration"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Database Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Cyber Security"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","e-Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Junior Statistical Officer","Learning & Development"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Statistical Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Data Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Survey Operations"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Sampling"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Data Quality & Validation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Research & Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Economic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Social Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Demographic Statistics"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Statistical Computing"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Data Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Data Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Policy Analysis"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Programme Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Monitoring & Evaluation"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Training & Capacity Building"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Administration"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Finance & Accounts"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","IT / Digital Systems"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Database Management"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","AI / Machine Learning"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Cyber Security"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","e-Governance"
"National Statistical Training Academy (NSSTA)","Curriculum Development","Other","Learning & Development"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Statistical Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Data Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Survey Operations"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Sampling"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Data Quality & Validation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Research & Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Economic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Social Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Demographic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Statistical Computing"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Data Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Data Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Policy Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Programme Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Monitoring & Evaluation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Training & Capacity Building"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Administration"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Finance & Accounts"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","IT / Digital Systems"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Database Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","AI / Machine Learning"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Cyber Security"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","e-Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Director","Learning & Development"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Statistical Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Data Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Survey Operations"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Sampling"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Data Quality & Validation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Research & Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Economic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Social Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Demographic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Statistical Computing"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Data Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Data Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Policy Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Programme Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Monitoring & Evaluation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Training & Capacity Building"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Administration"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Finance & Accounts"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","IT / Digital Systems"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Database Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","AI / Machine Learning"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Cyber Security"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","e-Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Deputy Director","Learning & Development"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Statistical Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Data Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Survey Operations"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Sampling"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Data Quality & Validation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Research & Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Economic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Social Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Demographic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Statistical Computing"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Data Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Data Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Policy Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Programme Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Monitoring & Evaluation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Training & Capacity Building"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Administration"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Finance & Accounts"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","IT / Digital Systems"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Database Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","AI / Machine Learning"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Cyber Security"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","e-Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Senior Statistical Officer","Learning & Development"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Statistical Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Data Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Survey Operations"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Sampling"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Data Quality & Validation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Research & Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Economic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Social Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Demographic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Statistical Computing"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Data Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Data Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Policy Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Programme Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Monitoring & Evaluation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Training & Capacity Building"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Administration"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Finance & Accounts"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","IT / Digital Systems"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Database Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","AI / Machine Learning"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Cyber Security"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","e-Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Junior Statistical Officer","Learning & Development"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Statistical Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Data Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Survey Operations"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Sampling"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Data Quality & Validation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Research & Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Economic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Social Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Demographic Statistics"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Statistical Computing"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Data Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Data Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Policy Analysis"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Programme Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Monitoring & Evaluation"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Training & Capacity Building"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Administration"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Finance & Accounts"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","IT / Digital Systems"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Database Management"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","AI / Machine Learning"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Cyber Security"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","e-Governance"
"State Directorate of Economics & Statistics","State Statistical Coordination","Other","Learning & Development"
"State Directorate of Economics & Statistics","Economic Census","Director","Statistical Analysis"
"State Directorate of Economics & Statistics","Economic Census","Director","Data Analysis"
"State Directorate of Economics & Statistics","Economic Census","Director","Survey Operations"
"State Directorate of Economics & Statistics","Economic Census","Director","Sampling"
"State Directorate of Economics & Statistics","Economic Census","Director","Data Quality & Validation"
"State Directorate of Economics & Statistics","Economic Census","Director","Research & Analysis"
